counter,timestamp,deadtime,height_1,height_2,time_difference
841.0,1751874191.333818,0.01042894030935847,550.0,1336.0,74.0
846.0,1751874191.3726866,0.011075891047141646,1300.0,783.0,73.0
847.0,1751874191.3787315,0.0328125,334.0,295.0,73.0
865.0,1751874191.6728446,0.002008613513806956,1433.0,1323.0,74.0
872.0,1751874191.7671201,0.023340070935509705,411.0,757.0,74.0
873.0,1751874191.767615,0.22938689217758984,1401.0,746.0,74.0
875.0,1751874191.7768753,0.015280668244148587,1422.0,478.0,74.0
884.0,1751874191.8705325,0.009025850402550634,1382.0,744.0,74.0
887.0,1751874191.9596057,0.002769873396301195,1381.0,739.0,74.0
888.0,1751874191.9982412,0.0023670321248903006,1388.0,338.0,90.0
891.0,1751874192.0220237,0.0073663739760740175,833.0,680.0,73.0
892.0,1751874192.0454757,0.003832940864654373,1350.0,1333.0,73.0
897.0,1751874192.1125786,0.004784832306229268,1343.0,234.0,73.0
899.0,1751874192.1156073,0.07097882083571837,1467.0,1336.0,73.0
904.0,1751874192.1736877,0.014662433707081644,289.0,400.0,73.0
907.0,1751874192.2035792,0.0065307737977439145,554.0,787.0,73.0
912.0,1751874192.302485,0.0073094279460642585,974.0,834.0,75.0
915.0,1751874192.3245597,0.015357396902985754,1345.0,1331.0,74.0
919.0,1751874192.3490374,0.04012934250891303,1411.0,364.0,73.0
920.0,1751874192.3833733,0.005777343668821048,567.0,874.0,73.0
922.0,1751874192.4126203,0.2708333333333333,679.0,1329.0,74.0
923.0,1751874192.4149556,0.04811030651721059,218.0,839.0,73.0
928.0,1751874192.4562404,0.008653370693917917,1371.0,1335.0,75.0
934.0,1751874192.5118997,0.017645966194043714,686.0,491.0,73.0
939.0,1751874192.5855334,0.017468995866115482,1421.0,310.0,73.0
943.0,1751874192.621229,0.02679934069959099,1340.0,843.0,74.0
951.0,1751874192.719015,0.0025883376295494807,615.0,687.0,74.0
959.0,1751874192.8474543,0.015804098645362974,1414.0,1335.0,75.0
969.0,1751874193.0901208,0.0054560387984981225,860.0,1958.0,73.0
972.0,1751874193.1381633,0.025131342536787282,1368.0,1341.0,74.0
973.0,1751874193.1524897,0.00965558932679552,1363.0,803.0,74.0
978.0,1751874193.2310367,0.002085017658823029,1389.0,642.0,74.0
979.0,1751874193.23199,0.10459433040078202,1370.0,882.0,74.0
983.0,1751874193.2955925,0.029163222191604665,1353.0,848.0,73.0
984.0,1751874193.302708,0.0204560697518444,305.0,738.0,73.0
991.0,1751874193.3757603,0.33985330073349634,1356.0,548.0,73.0
998.0,1751874193.4467862,0.014412532637075717,1349.0,954.0,73.0
1000.0,1751874193.4626362,0.011367380560131795,816.0,379.0,73.0
1008.0,1751874193.5642133,0.026185331130036862,1028.0,526.0,73.0
1010.0,1751874193.5895033,0.004473544197965189,1379.0,441.0,74.0
1011.0,1751874193.5933163,0.015115102453832532,1184.0,664.0,76.0
1022.0,1751874193.775436,0.0061404331114652665,416.0,915.0,74.0
1023.0,1751874193.801029,0.002756565468429875,233.0,1336.0,74.0
1024.0,1751874193.8033793,0.017776407727085903,367.0,231.0,73.0
1027.0,1751874193.8164556,0.047257150753074476,1548.0,1336.0,-710.0
1029.0,1751874193.821708,0.30558789289871946,743.0,589.0,-128.0
1038.0,1751874193.8820019,0.01760988625193091,1375.0,1261.0,74.0
1040.0,1751874193.8929973,0.03059243730103269,1013.0,790.0,74.0
1045.0,1751874193.9899378,0.015162181188065197,674.0,451.0,72.0
1047.0,1751874194.035664,0.04655881855588749,1394.0,919.0,74.0
1049.0,1751874194.0496418,0.009299574065309986,1372.0,779.0,73.0
1050.0,1751874194.0530858,0.02700457000415455,1359.0,1331.0,74.0
1054.0,1751874194.0781,0.010178354654963116,1304.0,265.0,73.0
1055.0,1751874194.0823278,0.0405412900005546,1463.0,746.0,73.0
1061.0,1751874194.1085856,0.03266969021446691,1363.0,854.0,73.0
1063.0,1751874194.124146,0.01864445986583391,855.0,1328.0,73.0
1072.0,1751874194.2481983,0.03742112825638783,1373.0,351.0,72.0
1078.0,1751874194.3103878,0.05792552432586674,262.0,2506.0,-779.0
1079.0,1751874194.3329158,0.006808537589461017,369.0,2149.0,73.0
1082.0,1751874194.380699,0.004418637799233302,1328.0,1013.0,73.0
1084.0,1751874194.436339,0.006799426069950009,537.0,372.0,73.0
1085.0,1751874194.4366984,0.297951582867784,1443.0,1335.0,74.0
1099.0,1751874194.5770228,0.010840475625868085,1302.0,1330.0,74.0
1100.0,1751874194.58259,0.013957869498201747,1367.0,1327.0,73.0
1104.0,1751874194.6032617,0.007235285932934465,1364.0,872.0,74.0
1111.0,1751874194.6836996,0.022080775080268122,237.0,820.0,75.0
1114.0,1751874194.7145982,0.007254003465082012,1348.0,656.0,74.0
1117.0,1751874194.7814384,0.004140158243177781,1325.0,439.0,73.0
1120.0,1751874194.8140776,0.05723808143747283,2681.0,552.0,74.0
1125.0,1751874194.8483665,0.005059939692579245,665.0,958.0,73.0
1128.0,1751874194.8703792,0.011149110807113543,211.0,504.0,74.0
